datahora,Geração Usinas CVU (MW),Geração Biomassa (MW),Geração Eólicas (MW),Geração Hidráulica não MRE (MW),Geração Hidráulica MRE (MW),PLD (R$/MWh),CMO (R$/MWh),Carga Global (MWh/H),Intercâmbio (MW),ENA Armazenável (MW)
2021-04-20 08:00,160.909324,6.531534,7.363054999999999,1.8787699999999998,5.809813999999999,169.87,181.79500000000002,39218.0115,5705.731,28322.01218556966
2021-04-20 09:00,165.80700000000002,6.2880899999999995,6.8101389999999995,1.784992,5.878817,171.76,181.7,40493.312000000005,5662.347,28322.01218556966
2021-04-20 10:00,166.221,5.695755999999999,1.992821,1.785998,5.952309,171.83,183.09,41244.4355,5476.643,28322.01218556966
2021-04-20 11:00,166.842,5.76656,0.221333,1.78626,5.956998,171.84,181.835,41580.25,5559.72099999,28322.01218556966
2021-04-20 12:00,167.256,6.113816,0.0,1.710821,5.953206,172.19,182.005,41561.8975,5453.643,28322.01218556966
2021-04-20 13:00,167.256,6.276291,0.0,1.784648,6.0114399999999995,176.86,187.735,42017.5565,6022.379,28322.01218556966
2021-04-20 14:00,167.67000000000002,6.3072099999999995,0.07547899999999999,1.847802,6.044995,178.13,190.755,43046.7975,6037.09,28322.01218556966
2021-04-20 15:00,167.877,6.01931,1.289826,1.847451,6.043811,178.07,190.54,43680.721000000005,5697.825,28322.01218556966
2021-04-20 16:00,167.60105299999998,6.309447,0.34315199999999996,1.932661,6.011381999999999,177.86,190.285,44073.328,5088.915,28322.01218556966
2021-04-20 17:00,167.941616,6.273406,0.0,1.8471529999999998,6.75828,178.14,190.72,43640.046,5588.508,28322.01218556966
2021-04-20 18:00,168.756397,6.00294,1.2741479999999998,1.846816,6.297054,179.48,193.765,44906.076499999996,3254.53,28322.01218556966
2021-04-20 19:00,168.912,6.266398,7.353649,1.84299,6.052268,179.0,192.75,46497.6525,3224.808,28322.01218556966
2021-04-20 20:00,168.912,5.976194,8.289156,1.842428,6.24585,178.33,192.49,45259.985,4447.488,28322.01218556966
2021-04-20 21:00,163.378797,6.0057599999999995,2.33077,1.6807839999999998,6.0529459999999995,177.95,191.48000000000002,44597.585999999996,5268.80599999,28322.01218556966
2021-04-20 22:00,155.595466,6.190014,5.129855,1.7124169999999999,5.98523,176.94,189.405,42822.294,6401.289,28322.01218556966
